Word,Definition
Acid rain,"Cloud or rain droplets containing pollutants, such as oxides of sulfur and nitrogen, to make them acidic (eg. pH < 5.6)."
Afternoon,Noon to sunset.
Arctic air,"A mass of very cold, dry air that usually originates over the Arctic Ocean north of Canada and Alaska."
Arctic high,A very cold high pressure that originates over the Arctic Ocean.
Ball lightning,"A relatively rarely seen form of lightning, generally consisting of an orange or reddish ball of the order of a few cm to 30cm in diameter and of moderate luminosity, which may move up to 1 m/s horizontally with a lifetime of a second or two."
Barber pole,"A thunderstorm updraft with a visual appearance including cloud striations that are curved in a manner similar to the stripes of a barber pole. The structure typically is most pronounced on the leading edge of the updraft, while drier air from the rear flank downdraft often erodes the clouds on the trailing side of the updraft."
Barometer,An instrument for measuring atmospheric pressure.
Barometric pressure,The actual pressure value indicated by a pressure sensor.
Bitterly cold,"In winter, bitterly cold or very cold, refers to more than seven degrees Celsius below normal."
Black ice,"Thin, new ice that forms on fresh water or dew covered surfaces; it is common on roadways during the fall and early winter and appears ""black"" because of its transparency."
Blizzard,"Includes winter storm conditions of sustained winds or frequent gusts of 35 mph or more that cause major blowing and drifting of snow, reducing visibility to less than one-quarter mile for 3 or more hours. Extremely cold temperatures often are associated with dangerous blizzard conditions. In Canada, a blizzard described as a severe storm that lasts three or more hours, and brings low temperatures, strong winds and poor visibility due to blowing snow. In Australia, it is described as a violent and very cold wind which is loaded with snow, some of which has been raised from snow covered ground."
Blocking high,"A high pressure area (anticyclone), often aloft, that remains nearly stationary or moves slowly compared to west-to-east motion. It blocks the movement eastward movement of low pressure areas (cyclones) at its latitude."
Blowing Dust,Dust that is raised by the wind to moderate heights above the ground to a degree that horizontal visibility decreases to less than seven miles. Visibilities of 1/8 mile or less over a widespread area are criteria for a Blowing Dust Advisory.
Blowing sand,"Sand particles picked up from the surface of the earth by the wind to moderate heights above the ground, reducing the reported horizontal visibility to less than seven statute miles."
Blowing snow,"Wind driven snow that reduces visibility to six miles or less causing significant drifting. Blowing snow may be snow that is falling and/or loose snow on the ground picked up by the wind. In Canada, it is described as snow that is lifted by the wind from the earth's surface to a height of two meters or more."
Blowing spray,"Water droplets torn by the wind from a body of water, generally from the crests of waves, and carried up into the air in such quantities that they reduce the reported horizontal visibility to less than seven statute miles."
Blustery,Descriptive term for gusty winds that accompany cold weather.
Breezy,Wind in the range of 15 miles per hour to 25 mile per hour with mild or warm temperatures.
Brisk,Wind in the range of 15 to 25 miles per hour when the temperature is cold.
Broken clouds,Clouds which cover between 5/8ths and 7/8ths of the sky.
Calm,The absence of apparent motion in the air.
Celsius,A temperature scale in which zero is the freezing point of water and one hundred is the boiling point.
Chinook,"A Chinook is a warm, dry, gusty wind that occasionally occurs to the leeward side of a mountain range, particularly the Rocky Mountains."
Cirrus cloud,"High cloud, delicate, hair-like and feathery looking."
Clear,"Sky condition of less than 1/10 cloud coverage. In the United Kingdom, clear is defined as “No cloud”, and in Australia, it is defined as “Virtually cloud-free”."
Clear slot,"A local region of clearing skies or reduced cloud cover, indicating an intrusion of drier air; often seen as a bright area with higher cloud bases on the west or southwest side of a wall cloud."
Climate,"The prevalent long term weather conditions in a particular area. Climatic elements include precipitation, temperature, humidity, sunshine and wind velocity and phenomena such as fog, frost, and hail storms. Climate cannot be considered a satisfactory indicator of actual conditions since it is based upon a vast number of elements taken as an average."
Cloudburst,"A sudden, intense rainfall that is normally of short duration."
Cloudy,Cloudy means that clouds cover more than 60 percent of the sky.
Coastal flood warning,"Issued when there is widespread coastal flooding expected within 12 hours, more than just a typical overwash."
Cold,"In the winter, cold refers to four to seven degrees Celsius below normal."
Cold Advection (CAA),Transport of cold air into a region by horizontal winds.
Cold front,A narrow transition zone separating advancing colder air from retreating warmer air. The air behind a cold front is cooler and typically drier than the air it is replacing.
Cold low,A low pressure system with cold air mass from near the surface to all vertical levels (also called a cold core low).
Cold-air-funnel,"A funnel cloud or (rarely) a small, relatively weak tornado that can develop from a small shower or thunderstorm when the air aloft is unusually cold (hence the name). They are much less violent than other types of tornadoes."
Collar cloud,"Frequently used as a synonym for wall cloud, although it actually is a generally circular ring of cloud surrounding the upper portion of a wall cloud."
Combined seas,The combined height of swell and wind waves.
Condensation,"The process by which water vapor becomes a liquid; the opposite of evaporation, which is the conversion of liquid to vapor. In Australia, it is described as a change from a gas to a liquid."
Confluence,"A pattern of wind flow in which air flows inward toward an axis oriented parallel to the general direction of flow. It is the opposite of difluence. Confluence is not the same as convergence. Winds often accelerate as they enter a confluent zone, resulting in speed divergence which offsets the (apparent) converging effect of the confluent flow."
Congestus (or Cumulus congestus),"A large cumulus cloud with great vertical development, usually with a cauliflower-like appearance, but lacking the characteristic anvil shaped top of a Cb (Cumulonimbus cloud)."
Continental air mass,A dry air mass originating over a large land area.
Convection,"The transfer of heat within the air by its movement. The term is used specifically to describe vertical transport of heat and moisture, especially by updrafts and downdrafts in an unstable atmosphere."
Convergence,"An atmospheric condition that exists when the winds cause a horizontal net inflow of air into a specified region. Divergence is the opposite, where winds cause a horizontal net outflow of air from a specified region."
Cumulonimbus Cloud,"A vertically developed cloud, often capped by an anvil shaped cloud. Also called a thunderstorm cloud, it is frequently accompanied by heavy showers, lightning, thunder, and sometimes hail or gusty winds. In Australia, it is described as a heavy, puffy, heaped, dark cloud of great vertical depth, often bringing rain. Some have a distinctive anvil shaped head."
Cumulus cloud,"A cloud in the shape of individual detached domes, with a flat base and a bulging upper portion resembling cauliflower. In Australia, it is described as a cloud with a woolly, heaped appearance that often produces rain."
Cumulus congestus,"A large cumulus cloud with great vertical development, usually with a cauliflower-like appearance, but lacking the characteristic anvil shaped top of a Cb (Cumulonimbus cloud)."
Cyclone,"An area of low pressure around which winds blow counterclockwise in the Northern Hemisphere. Also the term used for a hurricane in the Indian Ocean and in the Western Pacific Ocean. In Australia, it is described as atmospheric circulations that rotate clockwise in the southern hemisphere, and anti-clockwise in the northern hemisphere. Cyclones are areas of lower pressure and generally associated with stronger winds, unsettled conditions, cloudiness and rainfall."
Day,Sunrise to sunset.
Day of the week (eg. Monday),Midnight to midnight.
Debris cloud,"A rotating ""cloud"" of dust or debris, near or on the ground, often appearing beneath a condensation funnel and surrounding the base of a tornado."
Dense fog,A fog in which the visibility is less than one-quarter mile.
Depression,A region of low atmospheric pressure that is usually accompanied by low clouds and precipitation.
Dew point,The temperature to which the air must be cooled for water vapor to condense and form fog or clouds.
Diamond dust,"A fall of non-branched (snow crystals are branched) ice crystals in the form of needles, columns, or plates."
Difluence,"A pattern of wind flow in which air moves outward (in a ""fan-out"" pattern) away from a central axis that is oriented parallel to the general direction of the flow. It is the opposite of confluence."
Disturbance,"A disruption of the atmosphere that usually refers to a low pressure area, cool air and inclement weather."
